ID	PAzules2.Archaea	PAzules3.Archaea	PAzules.Archaea
Methanosarcina_acetivorans	0.01323	0.02229	0.02163
Methanosarcina_barkeri	0.02869	0.02747	0.01794
Methanosarcina_mazei	0.02358	0.02474	0.0221
Methanopyrus_kandleri	0.04557	0.02717	0.0195
Pyrococcus_abyssi	0.02556	0.02034	0.01915
Pyrococcus_furiosus	0.02155	0.0247	0.02042
Pyrococcus_horikoshii	0.02212	0.02052	0.01886
Pyrococcus_sp_NA2	0.0	0.0	0.02124
Pyrococcus_sp_ST04	0.0	0.0	0.0201
Pyrococcus_yayanosii	0.04117	0.03311	0.02211
Thermococcus_barophilus	0.02119	0.02527	0.01908
Thermococcus_gammatolerans	0.01485	0.0289	0.01882
Thermococcus_kodakarensis	0.01711	0.02433	0.01909
Thermococcus_onnurineus	0.01715	0.02533	0.01835
Thermococcus_sibiricus	0.02552	0.0257	0.02094
Thermococcus_sp_4557	0.0	0.0	0.01785
Thermococcus_sp_AM4	0.0	0.0	0.02224
Thermococcus_sp_CL1	0.0	0.0	0.01875
Thermococcus_zilligii	0.03376	0.03699	0.01871
Ferroplasma_acidarmanus	0.02728	0.03029	0.01988
Picrophilus_torridus	0.0103	0.02635	0.02006
Thermoplasma_acidophilum	0.04122	0.02299	0.02126
Thermoplasma_volcanium	0.02386	0.02601	0.01856
Candidatus_Korarchaeum_cryptofilum	0.01071	0.02402	0.02041
Nanoarchaeum_equitans	0.01067	0.02501	0.01792
Cenarchaeum_symbiosum	0.04152	0.02357	0.0193
Candidatus_Nitrosoarchaeum_limnia	0.0	0.02326	0.02178
Candidatus_Nitrosoarchaeum_unclassified	0.0	0.0001	0.0
Candidatus_Nitrosopumilus_salaria	0.0	0.02062	0.02094
Nitrosopumilus_maritimus	0.01906	0.02369	0.02057
Candidatus_Nitrososphaera_gargensis	0.01927	0.02269	0.01796
Marine_Group_I_thaumarchaeote_SCGC_AB_629_A13	0.01635	0.02782	0.02061
Marine_Group_I_thaumarchaeote_SCGC_AB_629_I23	0.01057	0.02293	0.01933
Hyperthermophilic_Archaeal_Virus_2	0.0	0.0	0.01838
